title,vol,pub_date,n_rev,stars
弱虫ペダル,49,2017/02/08,14,3.9
囚人リク,32,2017/03/08,1,5.0
実は私は,22,2017/03/08,12,5.0
ハリガネサービス,14,2017/02/08,0,
鮫島、最後の十五日,11,2017/02/08,2,5.0
絢爛たるグランドセーヌ,7,2016/10/20,12,4.7
はじめの一歩,116,2016/12/16,23,2.3
ダイヤのA act2,6,2017/02/17,6,4.2
ベイビーステップ,43,2017/01/17,9,4.7
七つの大罪,25,2017/03/17,0,
VECTOR BALL,4,2017/03/17,7,4.3
進撃の巨人,21,2016/12/09,112,4.5
ふらいんぐうぃっち,5,2016/11/09,24,4.9
アルスラーン戦記,6,2016/11/09,20,4.4
アホガール,8,2016/10/07,6,4.7
ノラガミ,18,2017/02/17,6,4.3
ボールルームへようこそ,8,2015/10/16,29,4.8
さよなら私のクラマー,2,2017/01/17,8,4.6
宇宙兄弟,30,2017/01/23,25,4.4
へうげもの,23,2016/12/22,5,5.0
バガボンド,37,2014/07/23,60,4.1
ひらけ駒!,8,2013/01/23,3,4.7
CITY,1,2017/03/23,15,4.6
ヒストリエ,10,2017/03/23,39,4.6
おおきく振りかぶって,27,2016/07/22,26,4.9
ヴィンランド・サガ,18,2016/08/23,39,4.6
ウィッチクラフトワークス,10,2016/11/07,11,4.5
亜人,9,2016/10/07,26,4.7
甘々と稲妻,8,2017/01/06,13,4.9
はねバド!,9,2016/12/07,7,4.7
いぬやしき,8,2017/01/23,48,3.4
累,10,2016/12/22,2,5.0
少女ファイト,13,2016/05/23,10,3.5
JJM 女子柔道部物語,1,2016/12/22,20,4.7
妖怪番長,6,2017/02/23,1,4.0
監獄学園,24,2017/03/06,40,2.1
彼岸島 48日後…,10,2017/01/06,7,4.1
手品先輩,2,2016/12/06,13,4.3
亜人ちゃんは語りたい,4,2016/09/20,26,4.7
さばげぶっ!,12,2016/11/11,6,4.7
ちはやふる,34,2017/03/13,19,4.6
トモちゃんは女の子,4,2017/01/26,9,4.8
ONE PIECE,84,2017/02/03,48,4.8
HUNTER×HUNTER,33,2016/06/03,213,4.7
トリコ,43,2016/12/31,19,4.3
ハイキュー!!,25,2017/03/03,15,4.8
斉木楠雄のサイ難,20,2016/12/31,3,5.0
食戟のソーマ,23,2017/03/03,15,2.9
ワールドトリガー,18,2017/03/03,15,4.7
火ノ丸相撲,13,2017/02/03,9,4.3
僕のヒーローアカデミア,12,2017/02/03,46,3.5
ブラッククローバー,10,2017/03/03,16,2.6
背すじをピン!と～鹿高競技ダンス部へようこそ～,9,2017/02/03,4,5.0
左門くんはサモナー,8,2017/03/03,4,3.8
鬼滅の刃,5,2017/03/03,23,4.7
ファイアパンチ,4,2017/03/03,3,5.0
悪魔のメムメムちゃん,2,2017/03/03,8,5.0
新テニスの王子様,20,2017/03/03,14,1.9
キングダム,45,2017/01/19,44,4.7
テラフォーマーズ,20,2017/02/17,16,3.3
干物妹!うまるちゃん,9,2016/11/18,42,3.2
群青戦記 グンジョーセンキ,14,2017/02/17,1,5.0
ゴールデンカムイ,10,2017/03/17,15,4.6
東京喰種 トーキョーグール：re,10,2017/03/17,30,3.6
かぐや様は告らせたい～天才たちの恋愛頭脳戦～,4,2017/01/19,27,4.9
ワンパンマン,12,2016/12/02,28,4.1
君に届け,28,2017/02/24,13,4.5
高台家の人々,5,2016/05/25,43,4.8
アシガール,8,2016/12/22,20,4.7
名探偵コナン,91,2016/12/16,10,4.7
銀の匙 Silver Spoon,13,2015/06/18,44,4.2
湯神くんには友達がいない,10,2016/10/18,7,3.9
だがしかし,7,2017/03/17,20,4.7
MAJOR 2nd,8,2017/02/17,2,4.5
古見さんは、コミュ症です。,3,2017/03/17,11,4.9
アサギロ 浅葱狼,15,2017/02/10,4,3.5
MIX,10,2016/12/12,9,4.2
放課後さいころ倶楽部,9,2017/03/10,3,5.0
からかい上手の高木さん,5,2017/02/10,64,4.9
BLUE GIANT SUPREME,1,2017/03/10,16,4.5
土竜の唄,53,2017/03/30,0,
アイアム ア ヒーロー,22,2017/03/30,38,1.5
あさひなぐ,22,2017/02/28,6,5.0
白暮のクロニクル,10,2017/01/30,11,4.3
デッドデッドデーモンズデデデデデストラクション,5,2016/09/30,9,4.6
イチゴーイチハチ!,3,2016/11/30,5,5.0
スローモーションをもう一度,2,2017/01/30,3,5.0
恋は雨上がりのように,7,2017/03/10,15,4.3
重版出来!,8,2016/08/30,11,4.5
7SEEDS,33,2017/01/10,11,4.5
賭ケグルイ,6,2017/02/22,14,3.5
私がモテないのはどう考えてもお前らが悪い!,11,2017/03/22,14,4.9
月刊少女野崎くん,8,2016/08/22,21,4.9
ばらかもん,14,2016/12/12,21,3.5
咲-Saki-,16,2016/12/24,19,4.4
プラスチック姉さん,10,2016/11/25,9,4.2
キャタピラー,9,2017/03/25,2,4.5
ムルシエラゴ,9,2017/01/25,4,4.3
ハイスコアガール,7,2017/01/25,37,4.4
シノハユ,7,2016/12/24,5,5.0
アカギ,33,2016/12/15,10,1.1
ラーメン大好き小泉さん,5,2017/03/30,0,
イムリ,20,2016/11/25,7,4.9
乙嫁語り,9,2016/12/15,59,4.9
ふうらい姉妹,3,2013/09/14,22,4.6
ヒナまつり,12,2017/03/03,37,4.7
ハクメイとミコチ,5,2017/01/14,26,4.9
ダンジョン飯,4,2017/02/15,135,4.8
苺ましまろ,7,2013/03/27,38,4.3
よつばと!,13,2015/11/27,167,4.5
新米姉妹のふたりごはん,3,2017/02/27,7,4.6
ギリギリアウト,4,2016/08/26,4,5.0
となりの関くん,10,2017/03/23,2,5.0
ベルセルク,38,2016/06/24,87,4.4
3月のライオン,12,2016/09/29,112,4.1
恋するヤンキーガール,1,2016/06/28,11,4.0
ひだまりスケッチ,9,2016/11/26,17,4.8
魔法使いの嫁,7,2017/03/10,1,5.0
僕らはみんな河合荘,8,2016/05/30,28,4.9
それでも町は廻っている,16,2017/02/14,117,4.8
ドリフターズ,5,2016/06/06,20,4.9
山と食欲と私,4,2017/03/09,7,4.6
女子かう生,6,2017/01/12,1,5.0
やがて君になる,3,2016/11/26,20,4.9
早乙女選手、ひたかくす,1,2016/12/12,11,4.4
レイリ,2,2016/11/08,10,4.2
少年ラケット,9,2017/03/08,1,5.0
少女終末旅行,4,2016/11/09,10,4.8
不滅のあなたへ,2,2017/03/17,16,4.2
フルドラム,0,,0,
弟の夫,3,2016/10/12,14,4.5
ケンガンアシュラ,19,2017/02/10,5,4.8
MASTERグレープ,1,2017/02/10,1,5.0
DRAGON JAM,16,2016/12/28,0,
約束のネバーランド,2,2017/02/03,16,4.9
BORUTO,2,2016/12/02,21,3.6
